name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,21,0.584,0.0506,0.901,0.163,0.126,97.627
Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,39,0.701,0.585,0.484,0.0,0.845,122.276
Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,23,0.66,0.148,0.893,0.00175,0.272,124.058
Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,45,0.506,0.252,0.919,0.863,0.2,74.917
"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,23,0.696,0.322,0.978,0.879,0.658,105.776
Maroca                                                                                                                                                                           ,Mundo Livre                                     ,2,0.652,0.725,0.0335,0.0284,0.581,147.876
Apelo                                                                                                                                                                            ,Jenny Chi                                       ,21,0.531,0.153,0.923,0.000131,0.164,81.972
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,39,0.576,0.322,0.879,0.593,0.805,83.696
Corcovado                                                                                                                                                                        ,Stan Getz                                       ,25,0.53,0.0902,0.926,0.00782,0.364,126.648
Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,42,0.745,0.368,0.83,0.00292,0.582,98.953
Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,23,0.579,0.342,0.879,0.813,0.774,117.024
Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,31,0.575,0.274,0.686,0.343,0.628,105.678
Rosa Morena                                                                                                                                                                      ,Dorival Caymmi                                  ,31,0.526,0.489,0.206,0.0,0.717,95.995
Insensatez                                                                                                                                                                       ,Stan Getz                                       ,23,0.67,0.187,0.945,0.618,0.305,127.676
Menina Moca                                                                                                                                                                      ,Stan Getz                                       ,31,0.593,0.475,0.797,0.000373,0.789,106.501
So Nice (Summer Samba)                                                                                                                                                           ,Marcos Valle                                    ,4,0.773,0.492,0.549,0.0,0.822,122.054
Santa Maria de Feira                                                                                                                                                             ,Devendra Banhart                                ,42,0.542,0.377,0.933,0.319,0.729,107.113
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,16,0.67,0.822,0.67,0.00115,0.833,145.56
Blue Bossa                                                                                                                                                                       ,Tete Montoliu                                   ,4,0.599,0.518,0.823,0.87,0.962,110.723
Aguas De Março                                                                                                                                                                   ,Tempo Rei                                       ,31,0.797,0.411,0.79,0.0,0.606,135.955
Bossa Dorado                                                                                                                                                                     ,Pete Krebs & The Kung Pao Chi                   ,42,0.78,0.446,0.708,0.843,0.831,133.222
Orange Afternoon                                                                                                                                                                 ,Bebe                                            ,4,0.615,0.63,0.43,0.244,0.557,91.122
Homens                                                                                                                                                                           ,Manu Chao                                       ,25,0.736,0.439,0.796,0.000474,0.972,149.984
"Lisboa, Menina E Moça                                                                                                                                                          ",Som Ibérico                                     ,31,0.524,0.578,0.716,0.703,0.567,78.644
Lisboa menina e moça                                                                                                                                                             ,Various Artists                                 ,31,0.708,0.333,0.862,0.000594,0.757,101.86
Para Machuchar Meu Coracao                                                                                                                                                       ,Stan Getz                                       ,23,0.617,0.131,0.961,0.0101,0.449,131.953
Esperando Na Janela - Versão Acústica                                                                                                                                            ,Gilberto Gil                                    ,42,0.615,0.157,0.93,0.00193,0.513,148.99
