name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
I Know You Want Me (Calle Ocho)                                                                                                                                                  ,Pitbull                                         ,24,0.825,0.743,0.0142,2.12e-05,0.8,127.045
So Sick                                                                                                                                                                          ,Ne-Yo                                           ,38,0.452,0.574,0.246,0.0,0.58,92.791
Pump It                                                                                                                                                                          ,Black Eyed Peas                                 ,15,0.648,0.931,0.00937,0.0,0.744,153.649
Smack That                                                                                                                                                                       ,Akon                                            ,2,0.94,0.743,0.317,0.0,0.932,118.988
All The Things She Said                                                                                                                                                          ,t.A.T.u.                                        ,2,0.604,0.831,0.0359,0.00854,0.447,89.994
Hot In Herre                                                                                                                                                                     ,Nelly                                           ,16,0.956,0.745,0.206,0.0,0.912,107.075
Hey Ya! - Radio Mix / Club Mix                                                                                                                                                   ,Outkast                                         ,24,0.719,0.967,0.0588,0.000249,0.964,79.505
Bulletproof                                                                                                                                                                      ,La Roux                                         ,2,0.674,0.882,0.000441,6.47e-05,0.682,123.016
Teenage Dirtbag                                                                                                                                                                  ,Wheatus                                         ,11,0.625,0.85,0.346,0.000233,0.633,94.661
Haven't Met You Yet                                                                                                                                                              ,Michael Bublé                                   ,11,0.615,0.733,0.152,0.0,0.796,122.58
"Independent Women, Pt. 1                                                                                                                                                       ",Destiny's Child                                 ,41,0.73,0.602,0.362,3.69e-06,0.927,97.954
Whole Again                                                                                                                                                                      ,Atomic Kitten                                   ,11,0.747,0.706,0.0844,0.00355,0.567,94.019
Run This Town                                                                                                                                                                    ,JAY-Z                                           ,12,0.632,0.924,0.281,0.0,0.441,86.844
Get the Party Started                                                                                                                                                            ,P!nk                                            ,16,0.802,0.903,0.0011,0.0,0.96,128.93
Dirrty (feat. Redman)                                                                                                                                                            ,Christina Aguilera                              ,12,0.64,0.889,0.107,0.0,0.436,99.931
Gives You Hell                                                                                                                                                                   ,The All-American Rejects                        ,11,0.718,0.691,0.0159,0.0,0.552,100.008
Knock You Down                                                                                                                                                                   ,Keri Hilson                                     ,47,0.588,0.877,0.00952,0.0,0.645,155.165
Love Don't Cost a Thing                                                                                                                                                          ,Jennifer Lopez                                  ,29,0.786,0.842,0.00305,3.54e-06,0.685,97.577
Bootylicious                                                                                                                                                                     ,Destiny's Child                                 ,41,0.84,0.835,0.00281,1.11e-06,0.637,103.376
Crush                                                                                                                                                                            ,David Archuleta                                 ,7,0.57,0.664,0.00836,1.2e-05,0.487,162.084
Hall of Fame (feat. will.i.am)                                                                                                                                                   ,The Script                                      ,11,0.421,0.873,0.0654,0.0,0.629,84.786
Impossible - Main                                                                                                                                                                ,Shontelle                                       ,11,0.599,0.624,0.385,0.0,0.539,90.034
Put Your Records On                                                                                                                                                              ,Corinne Bailey Rae                              ,11,0.739,0.511,0.167,1.34e-06,0.542,96.038
Bubbly                                                                                                                                                                           ,Colbie Caillat                                  ,23,0.688,0.477,0.594,0.0,0.257,127.866
Let Me Love You                                                                                                                                                                  ,Mario                                           ,16,0.656,0.578,0.235,0.0,0.556,94.514
Boom Boom Pow                                                                                                                                                                    ,Black Eyed Peas                                 ,11,0.867,0.857,0.13,0.00171,0.402,130.048
Hate That I Love You                                                                                                                                                             ,Rihanna                                         ,2,0.637,0.73,0.323,0.0,0.732,93.867
Thnks fr th Mmrs                                                                                                                                                                 ,Fall Out Boy                                    ,18,0.459,0.891,0.00511,0.0,0.588,154.837
Yellow                                                                                                                                                                           ,Coldplay                                        ,28,0.429,0.661,0.00239,0.000121,0.285,173.372
Gold Digger                                                                                                                                                                      ,Kanye West                                      ,41,0.629,0.696,0.0195,0.0,0.623,93.034
Can't Get You out of My Head                                                                                                                                                     ,Kylie Minogue                                   ,16,0.766,0.563,0.0263,0.683,0.964,126.007
Fuck You                                                                                                                                                                         ,CeeLo Green                                     ,24,0.693,0.879,0.193,0.0,0.753,127.457
Candy Shop                                                                                                                                                                       ,50 Cent                                         ,38,0.614,0.574,0.0253,3.2e-05,0.755,125.173
I'm Yours                                                                                                                                                                        ,Jason Mraz                                      ,4,0.689,0.432,0.564,0.0,0.747,151.079
My Love                                                                                                                                                                          ,Justin Timberlake                               ,15,0.771,0.676,0.285,4.49e-06,0.804,119.997
Sex on Fire                                                                                                                                                                      ,Kings of Leon                                   ,11,0.542,0.905,0.00172,0.0104,0.374,153.398
Whataya Want from Me                                                                                                                                                             ,Adam Lambert                                    ,18,0.44,0.683,0.00706,0.0,0.445,185.948
Closer                                                                                                                                                                           ,The Chainsmokers                                ,11,0.748,0.524,0.414,0.0,0.661,95.01
Sorry                                                                                                                                                                            ,Justin Bieber                                   ,7,0.665,0.759,0.0767,0.0,0.389,99.992
Thinking out Loud                                                                                                                                                                ,Ed Sheeran                                      ,42,0.781,0.445,0.474,0.0,0.591,78.998
Congratulations                                                                                                                                                                  ,Post Malone                                     ,11,0.63,0.804,0.215,0.0,0.492,123.146
Just the Way You Are                                                                                                                                                             ,Bruno Mars                                      ,11,0.635,0.841,0.0134,0.0,0.424,109.021
Someone Like You                                                                                                                                                                 ,Adele                                           ,23,0.554,0.321,0.893,0.0,0.288,135.047
One Last Time                                                                                                                                                                    ,Ariana Grande                                   ,11,0.628,0.593,0.093,1.65e-06,0.104,125.026
Wake Me Up                                                                                                                                                                       ,Avicii                                          ,24,0.532,0.783,0.0038,0.0012,0.643,124.08
bad guy                                                                                                                                                                          ,Billie Eilish                                   ,38,0.701,0.425,0.328,0.13,0.562,135.128
"Love Me Like You Do - From ""Fifty Shades Of Grey""                                                                                                                            ",Ellie Goulding                                  ,18,0.258,0.631,0.281,0.0,0.266,189.583
Wildest Dreams                                                                                                                                                                   ,Taylor Swift                                    ,11,0.553,0.664,0.0709,0.0056,0.467,140.06
Story of My Life                                                                                                                                                                 ,One Direction                                   ,1,0.6,0.663,0.225,0.0,0.286,121.07
Treat You Better                                                                                                                                                                 ,Shawn Mendes                                    ,41,0.444,0.819,0.106,0.0,0.747,82.695
Scars To Your Beautiful                                                                                                                                                          ,Alessia Cara                                    ,34,0.319,0.739,0.0285,0.0,0.449,194.169
The One That Got Away                                                                                                                                                            ,Katy Perry                                      ,2,0.691,0.795,0.000812,1.02e-06,0.876,133.971
Symphony (feat. Zara Larsson)                                                                                                                                                    ,Clean Bandit                                    ,2,0.707,0.629,0.259,1.6e-05,0.457,122.863
We Don't Talk Anymore (feat. Selena Gomez)                                                                                                                                       ,Charlie Puth                                    ,31,0.728,0.563,0.621,0.0,0.352,100.017
Blank Space                                                                                                                                                                      ,Taylor Swift                                    ,11,0.752,0.678,0.085,1.64e-06,0.583,96.009
Stitches                                                                                                                                                                         ,Shawn Mendes                                    ,24,0.746,0.754,0.0152,0.0,0.746,149.882
Heart Attack                                                                                                                                                                     ,Demi Lovato                                     ,47,0.504,0.785,0.0738,0.0,0.502,173.968
Payphone                                                                                                                                                                         ,Maroon 5                                        ,11,0.743,0.752,0.0188,0.0,0.545,110.015
What Makes You Beautiful                                                                                                                                                         ,One Direction                                   ,24,0.688,0.806,0.0102,0.0,0.85,125.006
Dusk Till Dawn - Radio Edit                                                                                                                                                      ,ZAYN                                            ,18,0.258,0.437,0.101,1.27e-06,0.0967,180.043
There's Nothing Holdin' Me Back                                                                                                                                                  ,Shawn Mendes                                    ,24,0.857,0.8,0.381,0.0,0.966,121.996
Talking to the Moon                                                                                                                                                              ,Bruno Mars                                      ,7,0.498,0.59,0.511,0.0,0.0784,145.867
Like I Can                                                                                                                                                                       ,Sam Smith                                       ,16,0.681,0.627,0.499,1.25e-06,0.494,99.908
Drag Me Down                                                                                                                                                                     ,One Direction                                   ,2,0.73,0.703,0.109,0.0,0.595,138.113
Maps                                                                                                                                                                             ,Maroon 5                                        ,2,0.741,0.715,0.0141,0.0,0.847,120.032
I Knew You Were Trouble                                                                                                                                                          ,Taylor Swift                                    ,47,0.602,0.465,0.00572,5.34e-06,0.664,154.076
Love Yourself                                                                                                                                                                    ,Justin Bieber                                   ,38,0.609,0.378,0.835,0.0,0.515,100.418
Shower                                                                                                                                                                           ,Becky G                                         ,1,0.699,0.529,0.0317,3.59e-05,0.121,119.987
Rude                                                                                                                                                                             ,MAGIC!                                          ,24,0.773,0.758,0.0422,0.0,0.925,144.033
"10,000 Hours (with Justin Bieber)                                                                                                                                              ",Dan + Shay                                      ,11,0.654,0.63,0.153,0.0,0.43,89.991
If I Can't Have You                                                                                                                                                              ,Shawn Mendes                                    ,24,0.692,0.809,0.524,0.0,0.864,123.911
Mirrors                                                                                                                                                                          ,Justin Timberlake                               ,31,0.574,0.512,0.234,0.0,0.512,76.899
Say You Won't Let Go                                                                                                                                                             ,James Arthur                                    ,23,0.4,0.564,0.693,0.0,0.483,99.269
Stereo Hearts (feat. Adam Levine)                                                                                                                                                ,Gym Class Heroes                                ,11,0.646,0.795,0.0319,0.0,0.796,89.99
Memories                                                                                                                                                                         ,Maroon 5                                        ,23,0.764,0.32,0.837,0.0,0.575,91.019
Set Fire to the Rain                                                                                                                                                             ,Adele                                           ,2,0.61,0.683,0.00382,1.79e-06,0.466,108.003
Classic                                                                                                                                                                          ,MKTO                                            ,24,0.72,0.791,0.0384,0.0,0.756,102.071
Youngblood                                                                                                                                                                       ,5 Seconds of Summer                             ,38,0.596,0.854,0.0169,0.0,0.152,120.274
Locked Away (feat. Adam Levine)                                                                                                                                                  ,R. City                                         ,1,0.509,0.671,0.304,0.0,0.55,118.413
Mercy                                                                                                                                                                            ,Shawn Mendes                                    ,18,0.555,0.662,0.125,0.0,0.356,148.128
Attention                                                                                                                                                                        ,Charlie Puth                                    ,2,0.774,0.626,0.0969,3.12e-05,0.777,100.041
Photograph                                                                                                                                                                       ,Ed Sheeran                                      ,23,0.614,0.379,0.607,0.000464,0.201,107.989
Shout Out to My Ex                                                                                                                                                               ,Little Mix                                      ,24,0.773,0.747,0.0239,8.23e-06,0.8,126.014
The Middle                                                                                                                                                                       ,Zedd                                            ,11,0.753,0.657,0.171,0.0,0.437,107.01
Sugar                                                                                                                                                                            ,Maroon 5                                        ,24,0.748,0.788,0.0591,0.0,0.884,120.076
"Flashlight - From ""Pitch Perfect 2"" Soundtrack                                                                                                                               ",Jessie J                                        ,1,0.458,0.623,0.322,5.08e-06,0.417,147.635
She Looks So Perfect                                                                                                                                                             ,5 Seconds of Summer                             ,47,0.494,0.951,0.000569,0.0,0.441,160.025
Grenade                                                                                                                                                                          ,Bruno Mars                                      ,7,0.704,0.558,0.148,0.0,0.245,110.444
Counting Stars                                                                                                                                                                   ,OneRepublic                                     ,2,0.664,0.705,0.0654,0.0,0.477,122.016
I Don't Care (with Justin Bieber)                                                                                                                                                ,Ed Sheeran                                      ,11,0.798,0.675,0.0912,0.0,0.842,101.956
Black Magic                                                                                                                                                                      ,Little Mix                                      ,24,0.775,0.885,0.033,0.0,0.82,111.997
Animals                                                                                                                                                                          ,Maroon 5                                        ,29,0.279,0.742,0.000185,0.0,0.328,189.868
Wolves                                                                                                                                                                           ,Selena Gomez                                    ,18,0.724,0.804,0.124,0.0,0.306,124.987
IDGAF                                                                                                                                                                            ,Dua Lipa                                        ,11,0.836,0.544,0.0403,0.0,0.51,97.028
Adore You                                                                                                                                                                        ,Harry Styles                                    ,11,0.676,0.771,0.0237,7e-06,0.569,99.048
Last Friday Night (T.G.I.F.)                                                                                                                                                     ,Katy Perry                                      ,29,0.649,0.815,0.00125,4.31e-05,0.765,126.03
Señorita                                                                                                                                                                         ,Shawn Mendes                                    ,16,0.759,0.548,0.0392,0.0,0.749,116.967
Sucker                                                                                                                                                                           ,Jonas Brothers                                  ,2,0.842,0.734,0.0427,0.0,0.952,137.958
Someone You Loved                                                                                                                                                                ,Lewis Capaldi                                   ,42,0.501,0.405,0.751,0.0,0.446,109.891
Beautiful People (feat. Khalid)                                                                                                                                                  ,Ed Sheeran                                      ,41,0.64,0.648,0.124,0.0,0.548,92.977
Too Good At Goodbyes                                                                                                                                                             ,Sam Smith                                       ,42,0.681,0.372,0.64,0.0,0.476,91.873
We Are Never Ever Getting Back Together                                                                                                                                          ,Taylor Swift                                    ,11,0.628,0.676,0.00957,2.65e-05,0.75,85.984
Something Just Like This                                                                                                                                                         ,The Chainsmokers                                ,16,0.607,0.649,0.0306,2.46e-05,0.505,102.996
Fight Song                                                                                                                                                                       ,Rachel Platten                                  ,47,0.564,0.714,0.0549,0.0,0.33,175.924
"thank u, next                                                                                                                                                                  ",Ariana Grande                                   ,1,0.717,0.653,0.229,0.0,0.412,106.966
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""                                                           ",ZAYN                                            ,1,0.735,0.451,0.0631,1.3e-05,0.0862,117.973
Perfect                                                                                                                                                                          ,Ed Sheeran                                      ,37,0.599,0.448,0.163,0.0,0.168,95.05
When We Were Young                                                                                                                                                               ,Adele                                           ,1,0.377,0.595,0.303,0.0,0.264,144.464
One Call Away                                                                                                                                                                    ,Charlie Puth                                    ,42,0.667,0.613,0.403,0.0,0.47,91.024
Like I'm Gonna Lose You (feat. John Legend)                                                                                                                                      ,Meghan Trainor                                  ,37,0.631,0.531,0.399,0.0,0.418,108.038
Never Really Over                                                                                                                                                                ,Katy Perry                                      ,11,0.77,0.882,0.194,0.0,0.385,99.991
Without Me                                                                                                                                                                       ,Halsey                                          ,11,0.752,0.488,0.297,9.11e-06,0.533,136.041
Happier                                                                                                                                                                          ,Ed Sheeran                                      ,42,0.522,0.385,0.536,0.0,0.236,89.792
Stronger (What Doesn't Kill You)                                                                                                                                                 ,Kelly Clarkson                                  ,24,0.562,0.939,0.046,0.0,0.684,116.044
All of Me                                                                                                                                                                        ,John Legend                                     ,23,0.422,0.264,0.922,0.0,0.331,119.93
Call Me Maybe                                                                                                                                                                    ,Carly Rae Jepsen                                ,11,0.783,0.58,0.0114,2.28e-06,0.66,120.021
The Nights                                                                                                                                                                       ,Avicii                                          ,11,0.527,0.835,0.0166,0.0,0.654,125.983
New Rules                                                                                                                                                                        ,Dua Lipa                                        ,16,0.762,0.7,0.00261,1.56e-05,0.608,116.073
Let Me Love You                                                                                                                                                                  ,DJ Snake                                        ,11,0.649,0.716,0.0863,2.63e-05,0.163,99.988
Dear Future Husband                                                                                                                                                              ,Meghan Trainor                                  ,12,0.657,0.776,0.366,0.0,0.84,79.477
Shape of You                                                                                                                                                                     ,Ed Sheeran                                      ,2,0.825,0.652,0.581,0.0,0.931,95.977
YOUTH                                                                                                                                                                            ,Troye Sivan                                     ,11,0.627,0.749,0.0526,0.0,0.608,91.522
Bad Blood                                                                                                                                                                        ,Taylor Swift                                    ,47,0.652,0.802,0.0871,6.45e-06,0.295,170.157
Locked out of Heaven                                                                                                                                                             ,Bruno Mars                                      ,24,0.726,0.698,0.049,0.0,0.867,143.994
I Really Like You                                                                                                                                                                ,Carly Rae Jepsen                                ,11,0.624,0.819,0.00575,0.000105,0.545,122.064
In My Blood                                                                                                                                                                      ,Shawn Mendes                                    ,1,0.622,0.712,0.0573,0.0,0.487,140.025
Lush Life                                                                                                                                                                        ,Zara Larsson                                    ,16,0.694,0.712,0.132,0.0,0.799,98.023
Domino                                                                                                                                                                           ,Jessie J                                        ,11,0.75,0.608,0.0228,3.76e-06,0.842,127.023
ME! (feat. Brendon Urie of Panic! At The Disco)                                                                                                                                  ,Taylor Swift                                    ,47,0.61,0.83,0.033,0.0,0.728,182.162
Galway Girl                                                                                                                                                                      ,Ed Sheeran                                      ,11,0.624,0.876,0.0735,0.0,0.781,99.943
Firework                                                                                                                                                                         ,Katy Perry                                      ,11,0.638,0.832,0.141,0.0,0.648,124.071
When I Was Your Man                                                                                                                                                              ,Bruno Mars                                      ,42,0.612,0.28,0.932,0.0,0.387,72.795
What Do You Mean?                                                                                                                                                                ,Justin Bieber                                   ,2,0.845,0.567,0.59,0.00142,0.793,125.02
Rolling in the Deep                                                                                                                                                              ,Adele                                           ,11,0.73,0.77,0.138,0.0,0.507,104.948
Into You                                                                                                                                                                         ,Ariana Grande                                   ,11,0.623,0.734,0.0162,1.75e-06,0.37,107.853
PILLOWTALK                                                                                                                                                                       ,ZAYN                                            ,11,0.584,0.7,0.117,0.0,0.438,124.944
Paris                                                                                                                                                                            ,The Chainsmokers                                ,1,0.653,0.658,0.0215,1.66e-06,0.219,99.99
Glad You Came                                                                                                                                                                    ,The Wanted                                      ,18,0.722,0.851,0.0319,0.0,0.452,126.885
If the World Was Ending (feat. Julia Michaels)                                                                                                                                   ,JP Saxe                                         ,42,0.464,0.473,0.866,0.0,0.604,75.801
Scared to Be Lonely                                                                                                                                                              ,Martin Garrix                                   ,7,0.584,0.54,0.0895,0.0,0.195,137.972
Send My Love (To Your New Lover)                                                                                                                                                 ,Adele                                           ,48,0.688,0.532,0.0356,3.08e-06,0.565,164.068
"How Far I'll Go - From ""Vaiana""                                                                                                                                              ",Alessia Cara                                    ,34,0.309,0.544,0.155,0.000265,0.16,180.979
Shut Up and Dance                                                                                                                                                                ,WALK THE MOON                                   ,24,0.576,0.876,0.00651,1.25e-06,0.613,128.04
Roar                                                                                                                                                                             ,Katy Perry                                      ,29,0.671,0.771,0.00492,7.28e-06,0.436,90.003
Castle on the Hill                                                                                                                                                               ,Ed Sheeran                                      ,1,0.461,0.834,0.0232,1.14e-05,0.471,135.007
Let Me Down Slowly                                                                                                                                                               ,Alec Benjamin                                   ,31,0.652,0.557,0.74,0.0,0.483,150.073
7 rings                                                                                                                                                                          ,Ariana Grande                                   ,41,0.778,0.317,0.592,0.0,0.327,140.048
Perfect Strangers                                                                                                                                                                ,Jonas Blue                                      ,24,0.742,0.819,0.372,0.0,0.709,117.986
Please Don't Go                                                                                                                                                                  ,Joel Adams                                      ,7,0.513,0.768,0.0118,1.94e-05,0.235,84.264
Pretty Girl - Cheat Codes X CADE Remix                                                                                                                                           ,Maggie Lindemann                                ,16,0.703,0.868,0.15,0.132,0.733,121.03
All I Ask                                                                                                                                                                        ,Adele                                           ,23,0.592,0.28,0.889,0.0,0.348,141.899
Stay                                                                                                                                                                             ,Zedd                                            ,2,0.69,0.622,0.253,0.0,0.544,102.04
no tears left to cry                                                                                                                                                             ,Ariana Grande                                   ,18,0.699,0.713,0.04,3.11e-06,0.354,121.993
i'm so tired...                                                                                                                                                                  ,Lauv                                            ,11,0.599,0.733,0.176,0.0,0.534,102.211
Just Give Me a Reason                                                                                                                                                            ,P!nk                                            ,42,0.778,0.547,0.346,0.000302,0.441,95.002
In the Name of Love                                                                                                                                                              ,Martin Garrix                                   ,29,0.501,0.519,0.109,0.0,0.168,133.99
Stay With Me                                                                                                                                                                     ,Sam Smith                                       ,42,0.5,0.418,0.566,0.000193,0.176,84.899
It Ain't Me (with Selena Gomez)                                                                                                                                                  ,Kygo                                            ,1,0.64,0.533,0.119,0.0,0.515,99.968
Cold (feat. Future)                                                                                                                                                              ,Maroon 5                                        ,16,0.697,0.716,0.118,0.0,0.506,99.905
Chandelier                                                                                                                                                                       ,Sia                                             ,1,0.399,0.787,0.0197,6.07e-05,0.572,117.089
Mama                                                                                                                                                                             ,Jonas Blue                                      ,16,0.737,0.792,0.102,0.0,0.543,104.012
Starving                                                                                                                                                                         ,Hailee Steinfeld                                ,11,0.668,0.613,0.414,0.0,0.498,99.852
Teenage Dream                                                                                                                                                                    ,Katy Perry                                      ,11,0.719,0.798,0.0162,2.34e-06,0.591,120.011
How Do You Sleep?                                                                                                                                                                ,Sam Smith                                       ,7,0.477,0.682,0.153,0.0,0.345,110.567
Shallow - Radio Edit                                                                                                                                                             ,Lady Gaga                                       ,23,0.575,0.33,0.416,0.0,0.277,95.801
What Lovers Do (feat. SZA)                                                                                                                                                       ,Maroon 5                                        ,2,0.799,0.597,0.0788,5.66e-06,0.419,110.001
Good Time                                                                                                                                                                        ,Owl City                                        ,24,0.567,0.887,0.0295,6.38e-06,0.654,126.057
Cold Water (feat. Justin Bieber & MØ)                                                                                                                                            ,Major Lazer                                     ,16,0.608,0.798,0.0736,0.0,0.501,92.943
